GR_0rchid-1a: -1087.5><964.5><0><-70><0><Bridge
GR_0rchid-2a: -1165.5><543><0><-160><0><Crypt
GR_0rchid-2b: 777><526.5><0><-86><0><Growth
GR_0rchid-4b: 816><-610.5><0><-70><0><Diseased
GR_Addy-1b: 690><1012.5><0><-230><0><Suspended
GR_Addy-2b: 1119><517.5><0><-70><0><Growth
GR_Addy-3b: 720><94.5><0><-230><0><Monolith
GR_Addy-4b: 1008><-610.5><0><-70><0><Diseased
GR_Alduris-1b: 924><997.5><0><-70><0><Suspended
GR_Alduris-2b: 1500><526.5><0><-70><0><Growth
GR_Alduris-3b: 946.5><34.5><0><-150><0><Monolith
GR_Alduris-4b: 1272><-601.5><0><-70><0><Diseased
GR_alekus-1b: 1182><999><0><-228><0><Suspended
GR_ATOM-3b: 1351.5><27><0><-168><0><Monolith
GR_Ax3lotI-1a: -1422><970.5><0><-70><0><Bridge
GR_Ax3lotI-2b: 1941><514.5><0><-150><0><Growth
GR_Ax3lotI-3b: 1758><7.5><0><-70><0><Monolith
GR_Bemo-1b: 1509><985.5><0><-150><0><Suspended
GR_Bemo-3a: -927><61.5><0><-70><0><Shrouded
GR_bismuth-2b: 2214><493.5><0><-70><0><Growth
GR_Bootleg-1b: 1779><979.5><0><-70><0><Suspended
GR_Bootleg-2b: 5583><457.5><0><-150><0><Growth
GR_Bootleg-3a: -1242><91.5><0><-150><0><Shrouded
GR_Bootleg-4b: 1560><-613.5><0><-390><0><Diseased
GR_brownie-4a: -1008><-622.5><0><-70><0><Respite
GR_catatu-1a: -1821><961.5><0><-78><0><Bridge
GR_chipped-1a: -2148><946.5><0><-70><0><Bridge
GR_Coolkid-1a: -2832><951><0><-116><0><Bridge
GR_Coolkid-1b: 1956><982.5><0><-70><0><Suspended
GR_DEDNIKO-1b: 2325><966><0><-240><0><Suspended
GR_DEDNIKO-2a: -8424><351><0><-168><0><Crypt
GR_DEDNIKO-3b: 2284.5><78><0><-372><0><Monolith
GR_Deerstop_4a: -1200><-610.5><0><-70><0><Respite
GR_DepressionBomb-1a: -3585><916.5><0><-70><0><Bridge
GR_Detrax-1b: 2761.5><963><0><-84><0><Suspended
GR_Detrax-2a: -1677><549><0><-76><0><Crypt
GR_Detrax-3b: 2796><-3><0><-152><0><Monolith
GR_Detrax-4a: -3945><-600><0><-76><0><Respite
GR_Detrax-4b: 5802><-621><0><-76><0><Diseased
GR_DodoDecalogist-3a: -1689><70.5><0><-242><0><Shrouded
GR_Dogcat-1a: -3894><912><0><-72><0><Bridge
GR_Dogcat-3b: 3121.5><1.5><0><-174><0><Monolith
GR_Dogcat-4a: -5562><-565.5><0><-70><0><Respite
GR_Fatal-1a: -4215><916.5><0><-86><0><Bridge
GR_FFL-1a: -4620><910.5><0><-70><0><Bridge
GR_FFL-1b: 3099><985.5><0><-70><0><Suspended
GR_FFL-2a: -2067><559.5><0><-70><0><Crypt
GR_FFL-3b: 3411><475.5><0><-70><0><Monolith
GR_Incogniko-1a: -5097><907.5><0><-70><0><Bridge
GR_Incogniko-1b: 3384><955.5><0><-230><0><Suspended
GR_Incogniko-2a: -2511><547.5><0><-70><0><Crypt
GR_Incogniko-2b: 2409><502.5><0><-70><0><Growth
GR_Inspectnerd-1a: -14112><963><0><-70><0><Bridge
GR_Inspectnerd-1b: 9591><951><0><-144><0><Suspended
GR_Inspectnerd-2a: -8844><363><0><-70><0><Crypt
GR_Inspectnerd-2b: 10512><415.5><40><-110><0><Growth
GR_Inspectnerd-3a: -4506><-36><80><-150><0><Shrouded
GR_Inspectnerd-3b: 8487><-81><120><-190><0><Monolith
GR_Inspectnerd-4a: -4149><-600><160><-230><0><Respite
GR_Inspectnerd-4b: 6054><-615><200><-344><0><Diseased
GR_Iswto-1b: 3591><925.5><0><-70><0><Suspended
GR_Iswto-2b: 2652><495><40><-200><0><Growth
GR_Iswto-3b: 3495><-18><80><-228><0><Monolith
GR_Iswto-4a: -4764><-582><120><-190><0><Respite
GR_izuna-1a: -5385><925.5><0><-70><0><Bridge
GR_izuna-3a: -2082><49.5><40><-190><0><Shrouded
GR_KAL-1a: -5661><919.5><0><-86><0><Bridge
GR_klum-2b: 3033><498><0><-260><0><Growth
GR_klum-3b: 3795><7.5><40><-126><0><Monolith
GR_klum-4b: 1779><-592.5><80><-170><0><Diseased
GR_KOF-1b: 3795><940.5><0><-310><0><Suspended
GR_KOF-2b: 3919.5><438><40><-280><0><Growth
GR_KOF-4a: -1605><-607.5><80><-234><0><Respite
GR_lkelly-1b: 3987><948><0><-70><0><Suspended
GR_lkelly-3a: -2379><-10.5><40><-110><0><Shrouded
GR_mayhemmm-1b: 4221><952.5><0><-70><0><Suspended
GR_mayhemmm-2a: -2844><546><40><-110><0><Crypt
GR_mayhemmm-4b: 2113.5><-607.5><80><-226><0><Diseased
GR_meta-1a: -6039><946.5><0><-74><0><Bridge
GR_meta-2b: 4407><469.5><40><-194><0><Growth
GR_Millisec-1b: 4428><949.5><0><-82><0><Suspended
GR_Millisec-2b: 4755><463.5><40><-122><0><Growth
GR_Millisec-3b: 4080><-12><80><-240><0><Monolith
GR_Mold-1a: -6409.5><901.5><40><-114><0><Bridge
GR_Mold-1b: 4662><931.5><80><-150><0><Suspended
GR_Mold-2a: -3117><525><120><-190><0><Crypt
GR_Mold-2b: 5067><466.5><0><-70><0><Growth
GR_Mold-3b: 4326><-13.5><160><-230><0><Monolith
GR_Mold-4a: -2022><-619.5><240><-310><0><Respite
GR_Mold-4b: 2409><-622.5><200><-270><0><Diseased
GR_Nekovo-1a: -6753><913.5><0><-70><0><Bridge
GR_Nekovo-2a: -3456><522><40><-110><0><Crypt
GR_Nekovo-3a: -2637><-13.5><80><-150><0><Shrouded
GR_Nekovo-4a: -2340><-639><120><-200><0><Respite
GR_nopuddles-1a: -7393.5><919.5><0><-142><0><Bridge
GR_nopuddles-2b: 6229.5><421.5><40><-258><0><Growth
GR_nopuddles-3b: 4645.5><-21><80><-312><0><Monolith
GR_nopuddles-4a: -2694><-649.5><120><-194><0><Respite
GR_Nora-3a: -2973><10.5><0><-70><0><Shrouded
GR_NOTGOODGAMER-2b: 6996><427.5><0><-394><0><Growth
GR_NOTGOODGAMER-3b: 8274><-79.5><40><-110><0><Monolith
GR_NOTGOODGAMER-4b: 2601><-627><80><-156><0><Diseased
GR_OCTO-1a: -7917><856.5><0><-70><0><Bridge
GR_Oscarriaq-1a: -8181><850.5><0><-70><0><Bridge
GR_Oscarriaq-1b: 4869><958.5><40><-110><0><Suspended
GR_Oscarriaq-2b: 7593><463.5><80><-150><0><Growth
GR_Oscarriaq-3a: -3225><28.5><120><-270><0><Shrouded
GR_parageist-1a: -8721><874.5><0><-242><0><Bridge
GR_QTPI-1b: 5055><985.5><0><-230><0><Suspended
GR_QTPI-4b: 2946><-646.5><40><-110><0><Diseased
