GR_0rchid-1a: -5748><1056><-4354><722><1><Bridge
GR_0rchid-2a: -1845><345><-1480><-18><1><Crypt
GR_0rchid-2b: 210><711><1074><169><2><Growth
GR_0rchid-4b: 1806><-1317><1162><-1229><1><Diseased
GR_Addy-1b: 381><1557><1158><803><0><Suspended
GR_Addy-2b: -1080><738><120><143><2><Growth
GR_Addy-3b: 1956><-387><2762><-760><2><Monolith
GR_Addy-4b: 954><-1134><658><-1118><0><Diseased
GR_Alduris-1b: -213><1008><556><463><0><Suspended
GR_Alduris-2b: -801><864><254><171><2><Growth
GR_Alduris-3b: -807><-165><503><-599><1><Monolith
GR_Alduris-4b: 1308><-1743><802><-1575><0><Diseased
GR_alekus-1b: -1011><1230><-292><612><1><Suspended
GR_alexavailable-1b: 216><1359><838><621><1><Suspended
GR_ATOM-3b: -1014><-57><-522><-574><2><Monolith
GR_Ax3lotI-1a: -4809><1098><-3416><778><1><Bridge
GR_Ax3lotI-2b: -774><591><126><-29><1><Growth
GR_Ax3lotI-3b: 1950><-639><2786><-846><1><Monolith
GR_Bemo-1b: -741><993><-24><499><0><Suspended
GR_Bemo-3a: -2655><-465><-1902><-714><0><Shrouded
GR_bismuth-2b: 1536><972><2634><281><2><Growth
GR_Bootleg-1b: -492><1002><210><561><0><Suspended
GR_Bootleg-2b: 1056><774><1748><111><1><Growth
GR_Bootleg-3a: -2262><-222><-1746><-594><1><Shrouded
GR_Bootleg-4b: 1074><-1464><686><-1538><1><Diseased
GR_brownie-4a: -2463><-840><-2068><-1045><2><Respite
GR_catatu-1a: -4803><1203><-3412><888><2><Bridge
GR_chipped-1a: -1458><964.5><-1020><603><1><Bridge
GR_Coolkid-1a: -2346><723><-1940><424><0><Bridge
GR_Coolkid-1b: 840><1281><1484><735><1><Suspended
GR_DEDNIKO-1b: 789><1263><1162><520><0><Suspended
GR_DEDNIKO-2a: -3525><213><-2738><-40><1><Crypt
GR_DEDNIKO-3b: 1107><-69><1683><-708><2><Monolith
GR_Deerstop-4a: -858><-1020><-1152><-1330><1><Respite
GR_DepressionBomb-1a: -3738><1003.5><-2540><629><1><Bridge
GR_Detrax-1b: -264><1671><421><890><2><Suspended
GR_Detrax-2a: -2316><198><-1750><-124><0><Crypt
GR_Detrax-3b: 456><-66><1314><-516><2><Monolith
GR_Detrax-4a: -1650><-972><-1582><-1174><2><Respite
GR_Detrax-4b: 738><-972><426><-1240><0><Diseased
GR_DodoDecalogist-3a: -1677><-36><-1294><-678><1><Shrouded
GR_Dogcat-1a: -3624><744><-2522><460><0><Bridge
GR_Dogcat-3b: 735><-477><1466><-732><1><Monolith
GR_Dogcat-4a: -2295><-1074><-2082><-1149><1><Respite
GR_Fatal-1a: -2514><1104><-1704><701><2><Bridge
GR_FFL-1a: -5721><1224><-4168><890><2><Bridge
GR_FFL-1b: 576><1437><1314><817><1><Suspended
GR_FFL-2a: -1965><198><-1576><-127><0><Crypt
GR_FFL-3b: 549><792><1556><145><1><Growth
GR_Incogniko-1a: -2241><1095><-1526><711><2><Bridge
GR_Incogniko-1b: -168><1299><580><623><2><Suspended
GR_Incogniko-2a: -3726><426><-2794><192><2><Crypt
GR_Incogniko-2b: -1038><564><-12><20><1><Growth
GR_Inspectnerd-1a: -5238><1197><-3714><902><2><Bridge
GR_Inspectnerd-1b: -57><1134><706><510><1><Suspended
GR_Inspectnerd-2a: -2415><576><-1840><194><2><Crypt
GR_Inspectnerd-2b: 600><966><1596><301><2><Growth
GR_Inspectnerd-3a: -3219><-513><-2398><-534><2><Shrouded
GR_Inspectnerd-3b: 1281><-633><2394><-728><1><Monolith
GR_Inspectnerd-4a: -1026><-1050><-1348><-1330><1><Respite
GR_Inspectnerd-4b: 1641><-1830><1040><-1686><0><Diseased
